n° SIRET,Pays,Catégorie,Sous-catégorie,Nom établissement,Adresse,Code postal,Ville,Site internet,Académie
,Etats-Unis,Ecoles internationales,Primaire,American School of Paris,41 Rue Pasteur,92210,Saint-Cloud,www.asparis.org,Versailles
,Etats-Unis,Ecoles internationales,Collège,American School of Paris,41 Rue Pasteur,92210,Saint-Cloud,www.asparis.org,Versailles
,Etats-Unis,Ecoles internationales,Lycée,American School of Paris,41 Rue Pasteur,92210,Saint-Cloud,www.asparis.org,Versailles
,Etats-Unis,Ecoles internationales,Collège,Collège de l'école active bilingue Jeannine Manuel,70 Rue du Théâtre,75015,Paris,www.eabjm.com ,Paris
,Etats-Unis,Ecoles internationales,Collège,Collège de l'Ermitage,24 Avenue Eglé,78600,Maisons-Laffitte,www.ermitage.fr ,Versailles
,Etats-Unis,Ecoles internationales,Collège,Collège du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Etats-Unis,Ecoles internationales,Collège,Collège Marcel Roby,3 Rue de La Rochejacquelein,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Etats-Unis,Ecoles internationales,Primaire,Ecole active bilingue Jeannine Manuel,70 Rue du Théâtre,75015,Paris,www.eabjm.com ,Paris
,Etats-Unis,Ecoles internationales,Primaire,Ecole du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Etats-Unis,Ecoles internationales,Primaire,Ecole Schnapper,26 rue Schnapper,78100,Saint-Germain-en-Laye,www.americansection.org/our-campuses/ecole-schnapper/ ,Versailles
,Etats-Unis,Ecoles internationales,Primaire,International School of Paris,6 Rue Beethoven,75016,Paris,www.isparis.edu,Paris
,Etats-Unis,Ecoles internationales,Collège,International School of Paris,6 Rue Beethoven,75016,Paris,www.isparis.edu,Paris
,Etats-Unis,Ecoles internationales,Lycée,International School of Paris,6 Rue Beethoven,75016,Paris,www.isparis.edu,Paris
,Etats-Unis,Ecoles internationales,Lycée,Lycée de l'école active bilingue Jeannine Manuel,70 Rue du Théâtre,75015,Paris,www.eabjm.com ,Paris
,Etats-Unis,Ecoles internationales,Lycée,Lycée de l'Ermitage,24 Avenue Eglé,78600,Maisons-Laffitte,www.ermitage.fr ,Versailles
,Etats-Unis,Ecoles internationales,Lycée,Lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Etats-Unis,Ecoles internationales,Primaire,Marymount international School,72 Boulevard de la Saussaye,92200,Neuilly-sur-Seine,www.marymount.fr ,Versailles
,Etats-Unis,Ecoles internationales,Collège,Marymount international School,72 Boulevard de la Saussaye,92200,Neuilly-sur-Seine,www.marymount.fr ,Versailles
,Etats-Unis,Ecoles internationales,Lycée,Marymount international School,72 Boulevard de la Saussaye,92200,Neuilly-sur-Seine,www.marymount.fr ,Versailles
,Etats-Unis,Ecoles internationales,Lycée,Lycée franco-allemand (section anglophone),9 Rue Collin Mamet,78530,Buc,www.lyc-lfa-buc.ac-versailles.fr,Versailles
,Royaume-Uni,Ecoles internationales,Primaire,British School of Paris,38 Quai de l'Écluse,78290,Croissy-sur-Seine,www.britishschool.fr ,Versailles
,Royaume-Uni,Ecoles internationales,Collège,British School of Paris,38 Quai de l'Écluse,78290,Croissy-sur-Seine,www.britishschool.fr ,Versailles
,Royaume-Uni,Ecoles internationales,Lycée,British School of Paris,38 Quai de l'Écluse,78290,Croissy-sur-Seine,www.britishschool.fr ,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège de l'école active bilingue Jeannine Manuel,70 Rue du Théâtre,75015,Paris,www.eabjm.com ,Paris
,Royaume-Uni,Ecoles internationales,Collège,Collège de Sèvres,1 Rue Lecocq,92210,Sèvres,www.clg-sevres.ac-versailles.fr,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège des Hauts Grillets,11 Boulevard Hector Berlioz,78100,Saint-Germain-en-Laye,www.clg-hautsgrillets-st-germain-laye.ac-versailles.fr,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège du lycée Camille Sée,11 Rue Léon Lhermitte,75015,Paris,http://www.ac-paris.fr/serail/jcms/s1_110167/ee-lg-clg-camille-see-portail ,Paris
,Royaume-Uni,Ecoles internationales,Collège,Collège du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège du Sacré Cœur,3 rue des Bourdonnais,78000,Versailles,www.sacrecoeur-versailles.fr ,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège Ecole internationale bilingue (EIB) de Paris,"16, rue Margueritte",75017,Paris,www.eab.fr ,Paris
,Royaume-Uni,Ecoles internationales,Collège,Collège Edouard Branly,8 rue Bauyn de Perreuse,94130,Nogent-sur-Marne,,Créteil
,Royaume-Uni,Ecoles internationales,Collège,Collège international,48 rue Guérin,77300,Fontainebleau,www.anglosection.com,Créteil
,Royaume-Uni,Ecoles internationales,Collège,Collège international Honoré de Balzac,118 boulevard Bessières,75017,Paris,www.balzacinternational.org,Paris
,Royaume-Uni,Ecoles internationales,Collège,Collège Jean Moulin,32 Avenue de la Résistance,92370,Chaville,www.clg-moulin-chaville.ac-versailles.fr,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège La Quintinye,1 Place Quintinye,78590,Noisy-le-Roi,,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège Louis Pasteur,30 Avenue de Circourt,78170,La Celle Saint-Cloud,www.clg-pasteur-lacelle.ac-versailles ,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège Martin Luther King,9 Rue Collin Mamet,78530,Buc,,Versailles
,Royaume-Uni,Ecoles internationales,Lycée,Lycée franco-allemand (section anglophone),9 Rue Collin Mamet,78530,Buc,www.lyc-lfa-buc.ac-versailles.fr,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège Maurice Ravel,89 Cours de Vincennes,75020,Paris,www.lycee-maurice-ravel.fr,Paris
,Royaume-Uni,Ecoles internationales,Collège,Collège Pierre et Marie Curie,"62, avenue Pierre et Marie Curie",78230,Le Pecq,www.clg-curie-lepecq.ac-versailles.fr ,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège Watteau,58 Rue Théodore Honoré,94130,Nogent-sur-Marne,,Créteil
,Royaume-Uni,Ecoles internationales,Primaire,Ecole active bilingue Jeannine Manuel,70 Rue du Théâtre,75015,Paris,www.eabjm.com ,Paris
,Royaume-Uni,Ecoles internationales,Primaire,Ecole du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Royaume-Uni,Ecoles internationales,Primaire,Ecole élémentaire des 40 arpents,rue Auguste Renoir,78960,Voisins-le-Bretonneux,www.ec-40arpents-vlb.ac-versailles.fr,Versailles
,Royaume-Uni,Ecoles internationales,Primaire,Ecole Félix Eboué-Wilson,3 rue de Seine,78230,Le Pecq,,Versailles
,Royaume-Uni,Ecoles internationales,Primaire,Ecole Ferdinand Buisson Point du Jour,85 rue du point du jour,92100,Boulogne-Billancourt,,Versailles
,Royaume-Uni,Ecoles internationales,Primaire,Ecole Gambetta A,4 rue Victor Hugo,92210,Sèvres,,Versailles
,Royaume-Uni,Ecoles internationales,Primaire,Ecole internationale bilingue de Paris,"123, rue de la Pompe",75016,Paris,www.eab.fr ,Paris
,Royaume-Uni,Ecoles internationales,Primaire,Ecole internationale bilingue de Paris,"23, rue de Cronstadt",75015,Paris,www.eab.fr ,Paris
,Royaume-Uni,Ecoles internationales,Primaire,Ecole internationale Malherbe,19 Rue du 11 Novembre 1918,78110,Le Vésinet,www.ecole-malherbe.com ,Versailles
,Royaume-Uni,Ecoles internationales,Primaire,Ecole Jehan Alain,2 Impasse du Quai Voltaire,78230,Le Pecq,,Versailles
,Royaume-Uni,Ecoles internationales,Primaire,Ecole Léonard de Vinci,Avenue de Verdun,77300,Fontainebleau,www.intervincifontainebleau.ac-creteil.fr,Créteil
,Royaume-Uni,Ecoles internationales,Primaire,Ecole Louis Blériot,Rue Collin Mamet,78530,Buc,,Versailles
,Royaume-Uni,Ecoles internationales,Primaire,Ecole Louis Pasteur,1 avenue Auguste Dutreux,78170,La Celle Saint-Cloud,,Versailles
,Royaume-Uni,Ecoles internationales,Primaire,International School of Paris,6 Rue Beethoven,75016,Paris,www.isparis.edu ,Paris
,Royaume-Uni,Ecoles internationales,Collège,International School of Paris,6 Rue Beethoven,75016,Paris,www.isparis.edu ,Paris
,Royaume-Uni,Ecoles internationales,Lycée,International School of Paris,6 Rue Beethoven,75016,Paris,www.isparis.edu ,Paris
,Royaume-Uni,Ecoles internationales,Lycée,Lycée Claude Monet,1 Rue du Docteur Magnan,75013,Paris,http://lyc-claude-monet.ac-paris.fr/ ,Paris
,Royaume-Uni,Ecoles internationales,Lycée,Lycée Corneille,2 Avenue Pierre Corneille,78170,La Celle Saint-Cloud,www.lyc-corneille-lacelle.ac-versailles.fr ,Versailles
,Royaume-Uni,Ecoles internationales,Lycée,Lycée de l'école active bilingue Jeannine Manuel,70 Rue du Théâtre,75015,Paris,www.eabjm.com ,Paris
,Royaume-Uni,Ecoles internationales,Lycée,Lycée Ecole internationale bilingue (EIB) de Paris,"9, rue Villaret de Joyeuse",75017,Paris,www.eab.fr ,Paris
,Royaume-Uni,Ecoles internationales,Lycée,Lycée Edouard Branly,8 Rue Bauyn de Perreuse,94130,Nogent-sur-Marne,http://branlynogent.free.fr/ ,Créteil
,Royaume-Uni,Ecoles internationales,Lycée,Lycée Evariste Galois,32 Avenue Montaigne,93160,Noisy-le-grand,http://tes-ent-nlg.jimdo.com/ ,Créteil
,Royaume-Uni,Ecoles internationales,Lycée,Lycée François Ier,11 rue Victor Hugo,77300,Fontainebleau,http://lyceefrancois1.net/ ,Créteil
,Royaume-Uni,Ecoles internationales,Lycée,Lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Royaume-Uni,Ecoles internationales,Lycée,Lycée international Honoré de Balzac,118 boulevard Bessières,75017,Paris,www.balzacinternational.org,Paris
,Royaume-Uni,Ecoles internationales,Lycée,Lycée Jean-Pierre Vernant,21 Rue du Docteur Gabriel Ledermann,92210,Sèvres,www.lyceevernant.fr ,Versailles
,Royaume-Uni,Ecoles internationales,Lycée,Lycée Maurice Ravel,89 Cours de Vincennes,75020,Paris,www.lycee-maurice-ravel.fr ,Paris
,Royaume-Uni,Ecoles internationales,Lycée,Lycée Notre-Dame du Grandchamp,97 Rue Royale,78000,Versailles,www.nd-grandchamp.fr ,Versailles
,Etats-Unis,Organismes économiques,Ambassade,Ambassade des Etats-Unis d'Amérique,"2, avenue Gabriel",75008,Paris,http://france.usembassy.gov,
,Etats-Unis,Organismes économiques,Chambre de commerce,American Chamber of Commerce in France (AmCham),"77, rue de Miromesnil",75008,Paris,www.amchamfrance.org ,
,Etats-Unis,Organismes économiques,Chambre de commerce,European American Chamber of Commerce (EACC),"37, rue de Liège",75008,Paris,www.eaccfrance.com,
,Etats-Unis,Culture,Centre culturel,Mona Bismarck American Center for Art & Culture,"34, avenue de New-York",75116,Paris,www.monabismarck.org,
,Etats-Unis,Culture,Centre culturel,American Center for the Arts - Dorothy's gallery,"27, rue Keller",75011,Paris,http://dorothysgallery.com/art/infos-pratiques/centre-culturel-americain/,
,Etats-Unis,Culture,Centre culturel,New-York University in France,56 rue de Passy,75016,Paris,,
,Etats-Unis,Culture,Centre culturel,Terra Foundation for American Art,"29, rue des Pyramides",75001,Paris,www.terraamericanart.org/europe,
,Etats-Unis,Culture,Librairie,WHSmith,"248, rue de Rivoli",75001,Paris,www.whsmith.fr,
,Etats-Unis,Culture,Librairie,Librairie Galignani,"224, rue de Rivoli",75001,Paris,www.galignani.com,
,Etats-Unis,Culture,Librairie,Librairie Brentano's,"37, avenue de l'Opéra",75002,Paris,http://www.librairie-brentanos-paris.com/ ,
,Etats-Unis,Culture,Librairie,The Abbey Bookshop,"29, rue de la Parcheminerie",75005,Paris,http://abbeybookshop.wordpress.com,
,Etats-Unis,Culture,Librairie,Berkeley Books,"8, rue Casimir-Delavigne",75006,Paris,www.berkeleybooksofparis.com ,
,Etats-Unis,Culture,Librairie,I love my blender,"36, rue du Temple",75003,Paris,www.ilovemyblender.fr,
,Etats-Unis,Culture,Bibliothèque,The American Library in Paris,"10, Rue du Général Camou",75007,Paris,americanlibraryinparis.org/,
,Etats-Unis,Culture,Librairie,San Francisco Books,17 rue Monsieur le Prince,75006,Paris,www.sanfranciscobooksparis.com,
,Etats-Unis,Culture,Librairie,Shakespeare & Company,"37, rue de la Bûcherie",75005,Paris,www.shakespeareandcompany.com,
,Allemagne,Ecoles internationales,Primaire,Ecole élémentaire franco-allemande,9 rue Collin Mamet,78530,Buc,www.lyc-lfa-buc.ac-versailles.fr,Versailles
,Allemagne,Ecoles internationales,Collège,Collège du lycée franco-allemand,9 rue Collin Mamet,78530,Buc,www.lyc-lfa-buc.ac-versailles.fr,Versailles
,Allemagne,Ecoles internationales,Lycée,Lycée franco-allemand,9 rue Collin Mamet,78530,Buc,www.lyc-lfa-buc.ac-versailles.fr,Versailles
,Allemagne,Ecoles internationales,Collège,Collège de Sèvres,1 Rue Lecocq,92310,Sèvres,www.sis-sevres.net ,Versailles
,Allemagne,Ecoles internationales,Collège,Collège des Hauts Grillets,10 Boulevard Hector Berlioz,78100,Saint-Germain-en-Laye,www.clg-hautsgrillets-st-germain-laye.ac-versailles.fr,Versailles
,Allemagne,Ecoles internationales,Collège,Collège du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Allemagne,Ecoles internationales,Collège,Collège international,48 rue Guérin,77300,Fontainebleau,www.deutsche-abteilung-fontainebleau.org/,Créteil
,Allemagne,Ecoles internationales,Collège,Collège international Honoré de Balzac,118 boulevard Bessières,75017,Paris,www.balzacinternational.org,Paris
,Allemagne,Ecoles internationales,Collège,Collège Janson de Sailly,106 rue de la Pompe,75016,Paris,www.janson-de-sailly.fr,Paris
,Allemagne,Ecoles internationales,Collège,Collège Maurice Ravel,89 Cours de Vincennes,75020,Paris,www.lycee-maurice-ravel.fr,Paris
,Allemagne,Ecoles internationales,Primaire,Ecole allemande internationale de Paris,18 Rue Pasteur,92210,Saint-Cloud,www.deutscheschuleparis.com,Versailles
,Allemagne,Ecoles internationales,Collège,Ecole allemande internationale de Paris,18 Rue Pasteur,92210,Saint-Cloud,www.deutscheschuleparis.com,Versailles
,Allemagne,Ecoles internationales,Lycée,Ecole allemande internationale de Paris,18 Rue Pasteur,92210,Saint-Cloud,www.deutscheschuleparis.com,Versailles
,Allemagne,Ecoles internationales,Primaire,Ecole Charles Bouvard,2 rue des Néfliers,78112,Fourqueux,www.ec-bouvard-fourqueux.ac-versailles.fr,Versailles
,Allemagne,Ecoles internationales,Primaire,Ecole Croix-Bosset,"14, rue Croix-Bosset",92310,Sèvres,,Versailles
,Allemagne,Ecoles internationales,Primaire,Ecole du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Allemagne,Ecoles internationales,Primaire,Ecole Léonard de Vinci,Avenue de Verdun,77300,Fontainebleau,,Créteil
,Allemagne,Ecoles internationales,Lycée,Lycée François Ier,11 rue Victor Hugo,77300,Fontainebleau,www.deutsche-abteilung-fontainebleau.org,Créteil
,Allemagne,Ecoles internationales,Lycée,Lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Allemagne,Ecoles internationales,Lycée,Lycée international Honoré de Balzac,118 boulevard Bessières,75017,Paris,www.balzacinternational.org,Paris
,Allemagne,Ecoles internationales,Lycée,Lycée Janson de Sailly,106 Rue de la Pompe,75016,Paris,www.janson-de-sailly.fr,Paris
,Allemagne,Ecoles internationales,Lycée,Lycée Jean-Pierre Vernant,21 Rue du Docteur Gabriel Ledermann,92310,Sèvres,,Versailles
,Allemagne,Ecoles internationales,Lycée,Lycée Maurice Ravel,89 Cours de Vincennes,75020,Paris,www.lycee-maurice-ravel.fr,Paris
,Allemagne,Culture,Musique,Ecole de musique franco-allemande,18 rue Paster,92210,Saint-Cloud,http://idsp.fr/fr/vie-scolaire/ecole-de-musique-franco-allemande.html ,
,Allemagne,Culture,Centre culturel,Goethe Institut,"17, avenue d'Iéna",75016,Paris,www.goethe.de/ins/fr/par/,
,Allemagne,Culture,Centre culturel,Maison Heinrich Heine,"Cité internationale universitaire de Paris 27C, boulevard Jourdan",75014,Paris,www.maison-heinrich-heine.org ,
,Allemagne,Culture,Centre culturel,Centre allemand d'histoire de l'art,"10, place des Victoires",75002,Paris,www.dt-forum.org,
,Allemagne,Culture,Librairie,Librairie Marissal Bücher,"42, rue Rambuteau",75003,Paris,www.marissal.com,
,Allemagne,Culture,Librairie,Libraire Büchlader,"3, rue Burq",75018,Paris,,
,Allemagne,Culture,"Epicerie, Traiteur",Tante Emma Laden,"Marché Saint-Martin, 31 rue du Château-d'Eau",75010,Paris,www.tante-emma-laden.fr,
,Allemagne,Culture,"Epicerie, Traiteur",Epicurya,"10, rue Poncelet",75017,Paris,www.epicurya.com ,
,Allemagne,Culture,"Epicerie, Traiteur",KaffeeHaus,"11, rue Poncelet",75017,Paris,http://kaffeehaus-paris.fr/ ,
,Allemagne,Organismes économiques,Ambassade,Ambassade d'Allemagne,"13/15, avenue Franklin D. Roosevelt",75008,Paris,www.paris.diplo.de,
,Allemagne,Organismes économiques,Chambre de commerce,Chambre Franco-Allemande de Commerce et d'Industrie,"18, rue Balard",75015,Paris,http://sefr.mofa.gov.sa/Detail.asp?InSectionID=2890&InNewsItemID=44703,
,Chine,Ecoles internationales,Collège,Collège des Hauts Grillets,12 Boulevard Hector Berlioz,78100,Saint-Germain-en-Laye,www.clg-hautsgrillets-st-germain-laye.ac-versailles.fr/ ,Versailles
,Chine,Ecoles internationales,Collège,Collège Gabriel Fauré,81 Avenue de Choisy,75013,Paris,,Paris
,Chine,Ecoles internationales,Collège,Collège Janson de Sailly,106 Rue de la Pompe,75016,Paris,www.janson-de-sailly.fr,Paris
,Chine,Ecoles internationales,Collège,Collège Victor Hugo,2 Allée Elsa Triolet,93160,Noisy-le-grand,www.college-victorhugo-noisylegrand.fr,CRETEIL
,Chine,Ecoles internationales,Primaire,Ecole de la Châtaigneraie,3 chemin des écoliers ,78240,Chambourcy,,Versailles
,Chine,Ecoles internationales,Primaire,Ecole élémentaire Longchamp,130 rue de Longchamp,75016,Paris,,Paris
,Chine,Ecoles internationales,Primaire,Ecole Jean Moulin,50 rue de l'Aurore,78100,Saint-Germain-en-Laye,,Versailles
,Chine,Ecoles internationales,Primaire,Groupe scolaire Ivry Levassor,51 avenue de la porte d'Ivry,75013,Paris,,Paris
,Chine,Ecoles internationales,Lycée,Lycée Claude Monet,1 Rue du Docteur Magnan,75013,Paris,http://lyc-monet.scola.ac-paris.fr,Paris
,Chine,Ecoles internationales,Lycée,Lycée Flora Tristan,27 rue des Hauts-Roseaux,93160,Noisy-le-grand,www.lyceefloratristan.fr ,Créteil
,Danemark,Ecoles internationales,Collège,Collège du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Danemark,Ecoles internationales,Primaire,Ecole du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Danemark,Ecoles internationales,Lycée,Lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Espagne,Ecoles internationales,Collège,Collège du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Espagne,Ecoles internationales,Collège,Collège espagnol Garcia Lorca,53 rue de la Pompe,75016,Paris,,Paris
,Espagne,Ecoles internationales,Collège,Collège international Honoré de Balzac,118 boulevard Bessières,75017,Paris,www.balzacinternational.org,Paris
,Espagne,Ecoles internationales,Collège,Collège Marcel Roby,3 Rue de La Rochejacquelein,78100,Saint-Germain-en-Laye,,Versailles
,Espagne,Ecoles internationales,Collège,Collège Maurice Ravel,89 Cours de Vincennes,75020,Paris,www.lycee-maurice-ravel.fr,Paris
,Espagne,Ecoles internationales,Primaire,Ecole du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Espagne,Ecoles internationales,Primaire,Ecole Jean Moulin,13 quai du 8 Mai 1945,78230,Le Pecq,,Versailles
,Espagne,Ecoles internationales,Primaire,Ecole Schnapper,26 rue Schnapper,78100,Saint-Germain-en-Laye,,Versailles
,Espagne,Ecoles internationales,Lycée,Lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Espagne,Ecoles internationales,Lycée,Lycée international Honoré de Balzac,118 boulevard Bessières,75017,Paris,www.balzacinternational.org,Paris
,Espagne,Ecoles internationales,Lycée,Lycée Luis Buñuel,"38, Boulevard Victor Hugo",92200,Neuilly-sur-Seine,,Versailles
,Espagne,Ecoles internationales,Lycée,Lycée Maurice Ravel,89 Cours de Vincennes,75020,Paris,www.lycee-maurice-ravel.fr,Paris
,Italie ,Ecoles internationales,Collège,Collège des Hauts Grillets,13 Boulevard Hector Berlioz,78100,Saint-Germain-en-Laye,www.clg-hautsgrillets-st-germain-laye.ac-versailles.fr/ ,Versailles
,Italie ,Ecoles internationales,Collège,Collège du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Italie ,Ecoles internationales,Collège,Collège international Honoré de Balzac,118 boulevard Bessières,75017,Paris,www.balzacinternational.org,Paris
,Italie ,Ecoles internationales,Primaire,Ecole du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
